trial_id,date,product,thickness_um,trial_stage,condition_group,condition_description,output_weight_kg,grade_a1_kg,grade_a2_kg,grade_b_kg,grade_c_kg,a_total_kg,a_ratio_pct,b_ratio_pct,c_ratio_pct,main_observation,risk_level,next_action,remarks
PT-2026-001,2026-06-01,GC100,100,pilot,C1,baseline synthetic condition,192.0,125.5,42.8,18.2,5.5,168.3,87.66,9.48,2.86,stable casting and acceptable appearance,low,continue comparative trial,synthetic sample only
PT-2026-002,2026-06-01,GC100,100,pilot,C2,modified drying balance,185.4,118.0,39.6,20.1,7.7,157.6,85.01,10.84,4.15,slightly higher downgrade ratio,medium,review drying observation record,synthetic sample only
PT-2026-003,2026-06-02,GC100,100,pilot,C3,modified handling workflow,201.6,132.4,46.5,17.8,4.9,178.9,88.74,8.83,2.43,improved A-grade ratio,low,repeat validation with same structure,synthetic sample only
PT-2026-004,2026-06-02,GC150,150,pilot,C1,baseline synthetic condition,164.4,96.2,38.7,21.4,8.1,134.9,82.06,13.02,4.93,thick film downgrade ratio requires tracking,medium,add product-level quality summary,synthetic sample only
PT-2026-005,2026-06-03,GC150,150,pilot,C2,modified solution stability check,172.8,105.6,42.1,18.9,6.2,147.7,85.47,10.94,3.59,quality distribution improved,low,prepare second round comparison,synthetic sample only
PT-2026-006,2026-06-03,GC150,150,pilot,C3,modified edge handling workflow,168.2,100.1,40.4,20.6,7.1,140.5,83.53,12.25,4.22,edge-related observation remains,medium,separate edge observation field,synthetic sample only
PT-2026-007,2026-06-04,NPI50,50,production-intro,C1,baseline synthetic condition,329.4,210.0,75.5,31.6,12.3,285.5,86.67,9.59,3.73,high output with acceptable A-grade ratio,low,monitor cross-date consistency,synthetic sample only
PT-2026-008,2026-06-04,NPI50,50,production-intro,C2,modified reporting workflow,315.8,198.3,70.4,34.2,12.9,268.7,85.09,10.83,4.08,reporting structure verified,low,convert to weekly report template,synthetic sample only
PT-2026-009,2026-06-05,NPI50,50,production-intro,C3,modified quality observation method,338.6,216.5,78.2,30.1,13.8,294.7,87.03,8.89,4.08,A-grade weight increased,low,add trend chart in future release,synthetic sample only
PT-2026-010,2026-06-05,TPI25,25,early-trial,C1,baseline synthetic condition,88.5,49.2,22.4,12.6,4.3,71.6,80.9,14.24,4.86,thin film handling needs observation,medium,extend observation checklist,synthetic sample only
PT-2026-011,2026-06-06,TPI25,25,early-trial,C2,modified flatness observation,91.2,53.1,23.0,10.8,4.3,76.1,83.44,11.84,4.71,flatness observation improved,low,repeat sample structure,synthetic sample only
PT-2026-012,2026-06-06,TPI25,25,early-trial,C3,modified documentation workflow,86.9,48.4,21.5,12.8,4.2,69.9,80.44,14.73,4.83,documentation workflow validated,low,link to process trial report template,synthetic sample only
